Subj,Course,Subj Desc,Sec,CRN,Title,Schedule Type,Schedule Type Desc,Primary Instructor Last Name,Primary Instructor First Name,Primary Instructor ID,Crosslist ID,Approv,Detail Code,Fee,Min Credits,Max Credits,Prior Enrl,SCH,Auth Size,Actual Enrl,Seats Avail,% Capacity,Waitlist Max,Waitlist Actual,Waitlist Avail,Start Date 1,End Date 1,Time 1,Location 1,Instruct Method 1,Instruct Method Desc 1,Start Date 2,End Date 2,Time 2,Location 2,Instruct Method 2,Instruct Method Desc 2,Start Date 3,End Date 3,Time 3,Location 3,Instruct Method 3,Instruct Method Desc 3,Start Date 4,End Date 4,Time 4,Location 4,Instruct Method 4,Instruct Method Desc 4,Start Date 5,End Date 5,Time 5,Location 5,Instruct Method 5,Instruct Method Desc 5,Start Date 6,End Date 6,Time 6,Location 6,Instruct Method 6,Instruct Method Desc 6,Start Date 7,End Date 7,Time 7,Location 7,Instruct Method 7,Instruct Method Desc 7,Start Date 8,End Date 8,Time 8,Location 8,Instruct Method 8,Instruct Method Desc 8,Start Date 9,End Date 9,Time 9,Location 9,Instruct Method 9,Instruct Method Desc 9,Start Date 10,End Date 10,Time 10,Location 10,Instruct Method 10,Instruct Method Desc 10
ANTH,361U,Anthropology,1,14424,THE ARCHAEOLOGY OF EUROPE,L,Lecture,Smith,Cameron,952654762,,,,,4,4,0,80,49,20,29,0.41,10,0,10,9/29/2014 0:00,12/13/2014 0:00,MWF 0900-1005,SRTC 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,363U,Anthropology,1,10054,EGYPTIAN ARCHAEOLOGY,L,Lecture,Sterling,Sarah,934274283,,,,,4,4,47,140,35,35,0,1,10,9,1,9/29/2014 0:00,12/13/2014 0:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,364U,Anthropology,1,14423,PACIFIC NW PREHISTORY,L,Lecture,Smith,Cameron,952654762,,,,,4,4,0,100,49,25,24,0.51,10,0,10,9/29/2014 0:00,12/13/2014 0:00,MWF 1130-1235,XSB 183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,366U,Anthropology,1,15341,MESOAMERICAN PREHISTORY,L,Lecture,Sterling,Sarah,934274283,,,,,4,4,0,140,35,35,0,1,10,3,7,9/29/2014 0:00,12/13/2014 0:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,368U,Anthropology,1,14429,ARCHAEOLOGY OF OCEANIA,L,Lecture,Sterling,Sarah,934274283,,,,,4,4,0,140,35,35,0,1,10,7,3,9/29/2014 0:00,12/13/2014 0:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,373,Anthropology,1,15642,PRIMATE ECOLOGY & BEHAVIOR,L,Lecture,Vasey,Natalie,919610828,,,,,4,4,0,64,49,16,33,0.33,10,0,10,9/29/2014 0:00,12/13/2014 0:00,TR 1400-1550,EB 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,399,Anthropology,1,14422,SPST: PORTLAND AREA ARCH,L,Lecture,Butler,Virginia,927105012,,,MC89,37,1,1,0,23,49,23,26,0.47,10,0,10,10/10/2014 0:00,10/10/2014 0:00,F 1500-1630,OFFCAM,,,10/11/2014 0:00,10/11/2014 0:00,S 0800-1700,OFFCAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,401,Anthropology,0,15698,RES: SANISERA FLD SCHOOL,H,Research,Butler,Virginia,927105012,,,,,4,4,0,0,0,0,0,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,401,Anthropology,0,15794,RES: ARCHAEOLOGY LAB,H,Research,Anderson,Shelby,938142438,,,,,2,2,0,2,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,401,Anthropology,0,15795,RES: ARCHAEOLOGY LAB,H,Research,Anderson,Shelby,938142438,,,,,1,1,0,1,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,401,Anthropology,0,15827,RES: ARCHAEOLOGY LAB,H,Research,Anderson,Shelby,938142438,,,,,2,2,0,2,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,401,Anthropology,0,15854,RES: REC ARCHAEOLOGY LAB,H,Research,Anderson,Shelby,938142438,,,,,1,1,0,1,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,401,Anthropology,0,15856,RES: ARCHAEOLOGY LAB,H,Research,Anderson,Shelby,938142438,,,,,1,1,0,1,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,415,Anthropology,1,14418,APPLIED ANTHROPOLOGY,L,Lecture,Spoon,Jeremy,940006066,BC,,,,4,4,0,80,20,20,0,1,5,2,3,9/29/2014 0:00,12/13/2014 0:00,TR 1400-1550,UTS 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,416,Anthropology,1,14420,URBAN ANTHROPOLOGY,L,Lecture,Klein,Charles,929738646,BF,,,,4,4,0,80,20,20,0,1,5,0,5,9/29/2014 0:00,12/13/2014 0:00,MW 1400-1550,LH 249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,446,Anthropology,1,14416,CHINESE CULTURE & SOCIETY,L,Lecture,Carstens,Sharon,925080600,AY,,,,4,4,0,32,20,8,12,0.4,5,0,5,9/29/2014 0:00,12/13/2014 0:00,MWF 1245-1350,XSB 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,461,Anthropology,1,14414,TOP: ENVIRONMENTAL ARCHAEOLOGY,L,Lecture,Anderson,Shelby,938142438,AL,,,,4,4,0,52,20,13,7,0.65,5,0,5,9/29/2014 0:00,12/13/2014 0:00,TR 1200-1350,UTS 304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,478,Anthropology,1,14412,HUMAN OSTEOLOGY,L,Lecture,Vasey,Natalie,919610828,AA,,MC10,25,4,4,0,80,20,20,0,1,5,4,1,9/29/2014 0:00,12/13/2014 0:00,TR 1000-1150,CH 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,501,Anthropology,0,15767,RES: THESIS DEVELOPMENT,H,Research,Butler,Virginia,927105012,,,,,1,1,0,1,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,501,Anthropology,0,15819,RES: THESIS PROPOSAL,H,Research,Butler,Virginia,927105012,,,,,1,1,0,1,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,501,Anthropology,0,15832,RES: THESIS PROPOSAL,H,Research,Butler,Virginia,927105012,,,,,1,1,0,1,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,501,Anthropology,0,16507,RES: THESIS RESEARCH,H,Research,Anderson,Shelby,938142438,,,,,1,1,0,1,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,503,Anthropology,0,15727,THESIS,Q,Thesis/Dissertation,Spoon,Jeremy,940006066,,,,,1,9,0,1,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,503,Anthropology,0,15728,THESIS,Q,Thesis/Dissertation,Vasey,Natalie,919610828,,,,,1,9,0,1,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,503,Anthropology,0,15793,THESIS,Q,Thesis/Dissertation,Anderson,Shelby,938142438,,,,,1,9,0,3,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,505,Anthropology,0,16486,R&C: REPRO HEALTH,I,Independent Learning,Klein,Charles,929738646,,,,,1,1,0,1,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,515,Anthropology,1,14419,APPLIED ANTHROPOLOGY,L,Lecture,Spoon,Jeremy,940006066,BC,,,,4,4,0,8,10,2,8,0.2,5,0,5,9/29/2014 0:00,12/13/2014 0:00,TR 1400-1550,UTS 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,516,Anthropology,1,14421,URBAN ANTHROPOLOGY,L,Lecture,Klein,Charles,929738646,BF,,,,4,4,0,4,10,1,9,0.1,5,0,5,9/29/2014 0:00,12/13/2014 0:00,MW 1400-1550,LH 249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,520,Anthropology,1,10066,POLICY PAPER,L,Lecture,Gamburd,Michele,963298287,,,,,4,4,1,0,15,0,15,0,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,546,Anthropology,1,14417,CHINESE CULTURE & SOCIETY,L,Lecture,Carstens,Sharon,925080600,AY,,,,4,4,0,0,10,0,10,0,5,0,5,9/29/2014 0:00,12/13/2014 0:00,MWF 1245-1350,XSB 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,550,Anthropology,1,15339,CORE SEMINAR IN ARCHAEOLOGY,L,Lecture,Anderson,Shelby,938142438,,,,,4,4,0,52,20,13,7,0.65,5,0,5,9/29/2014 0:00,12/13/2014 0:00,TR 0800-0950,CH 254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,561,Anthropology,1,14415,TOP: ENVIRONMENTAL ARCHAEOLOGY,L,Lecture,Anderson,Shelby,938142438,AL,,,,4,4,0,32,10,8,2,0.8,5,0,5,9/29/2014 0:00,12/13/2014 0:00,TR 1200-1350,UTS 304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH,578,Anthropology,1,14413,HUMAN OSTEOLOGY,L,Lecture,Vasey,Natalie,919610828,AA,,MC10,25,4,4,0,12,10,3,7,0.3,5,0,5,9/29/2014 0:00,12/13/2014 0:00,TR 1000-1150,CH 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,101,Arabic,1,10071,FIRST-YEAR STANDARD ARABIC TM1,L,Lecture,Breedlove,Clifford,980333104,,,F218,7,4,4,33,48,30,12,18,0.4,10,0,10,9/29/2014 0:00,12/13/2014 0:00,MWF 1015-1120,CH 324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,101,Arabic,2,10072,FIRST-YEAR STANDARD ARABIC TM1,L,Lecture,Gomaa-Moulds,Lina,907249868,,,F218,7,4,4,27,92,30,23,7,0.77,10,0,10,9/29/2014 0:00,12/13/2014 0:00,MW 1640-1830,SH 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,101,Arabic,3,10073,FIRST-YEAR STANDARD ARABIC TM1,L,Lecture,Breedlove,Clifford,980333104,,,F218,7,4,4,24,120,30,30,0,1,10,1,9,9/29/2014 0:00,12/13/2014 0:00,TR 1000-1150,NH 391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,201,Arabic,1,10074,SECOND-YEAR STANDRD ARABIC TM1,L,Lecture,Gomaa-Moulds,Lina,907249868,,,F218,7,4,4,17,40,30,10,20,0.33,10,0,10,9/29/2014 0:00,12/13/2014 0:00,MWF 1015-1120,PSC 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,201,Arabic,2,10075,SECOND-YEAR STANDRD ARABIC TM1,L,Lecture,Breedlove,Clifford,980333104,,,F218,7,4,4,18,76,30,19,11,0.63,10,0,10,9/29/2014 0:00,12/13/2014 0:00,TR 1200-1350,NH 391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,204,Arabic,1,10076,COMM SPOKEN ARABIC BEGIN TM1,L,Lecture,Gomaa-Moulds,Lina,907249868,,,,,4,4,15,84,30,21,9,0.7,10,0,10,9/29/2014 0:00,12/13/2014 0:00,TR 1400-1550,SH 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,301,Arabic,1,10077,THIRD-YEAR STANDARD ARABIC TM1,L,Lecture,Hanoosh,Yasmeen,958732147,,,,,4,4,14,32,30,8,22,0.27,10,0,10,9/29/2014 0:00,12/13/2014 0:00,MWF 0900-1005,NH 391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,304,Arabic,1,10078,INTERMDTE COMMON SPOKEN ARABIC,L,Lecture,Sbait,Dirgham,932791509,,,,,4,4,8,8,30,2,28,0.07,10,0,10,9/29/2014 0:00,12/13/2014 0:00,TR 1400-1550,NH 387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,412,Arabic,1,10079,ADV AR READING&WRITING: ESSAY,L,Lecture,Hanoosh,Yasmeen,958732147,FJ,,,,4,4,9,24,20,6,14,0.3,5,0,5,9/29/2014 0:00,12/13/2014 0:00,MWF 1015-1120,NH 358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,419,Arabic,1,14430,FOLK PROVERBS OF THE ARABS,L,Lecture,Sbait,Dirgham,932791509,ZE,,,,4,4,0,24,20,6,14,0.3,5,0,5,9/29/2014 0:00,12/13/2014 0:00,TR 1600-1750,NH 358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,512,Arabic,1,10081,ADV AR READING&WRITING: ESSAY,L,Lecture,Hanoosh,Yasmeen,958732147,FJ,,,,4,4,1,0,5,0,5,0,5,0,5,9/29/2014 0:00,12/13/2014 0:00,MWF 1015-1120,NH 358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,519,Arabic,1,14431,FOLK PROVERBS OF THE ARABS,L,Lecture,Sbait,Dirgham,932791509,ZE,,,,4,4,0,0,5,0,5,0,5,0,5,9/29/2014 0:00,12/13/2014 0:00,TR 1600-1750,NH 358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC,199,Arts & Sciences,1,15985,SPST: INTRO TO PRE-NURSING,L,Lecture,Marsh,Laura,966815144,,,,,1,1,0,21,100,21,79,0.21,20,0,20,9/29/2014 0:00,12/13/2014 0:00,T 1600-1650,SH 212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC,404,Arts & Sciences,0,16406,INTERN: COMM MARKETING,E,Experiential Learning,Dyson,Martha,900727879,,,,,4,4,0,4,0,1,-1,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC,404,Arts & Sciences,0,16536,INTERN: E-COMMERCE,E,Experiential Learning,Rousseau,Jon,949124959,,,,,4,4,0,0,0,0,0,,0,0,0,9/29/2014 0:00,12/13/2014 0:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,101,American Sign Language,1,10240,FIRST-YEAR ASL TM1,L,Lecture,Nicolay,Yvonne,976378173,,,F218,7,4,4,29,100,30,25,5,0.83,20,0,20,9/29/2014 0:00,12/13/2014 0:00,MWF 1015-1120,CH 321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,101,American Sign Language,2,10239,FIRST-YEAR ASL TM1,L,Lecture,Andrus,Sherry,950936231,,,F218,7,4,4,31,120,30,30,0,1,20,0,20,9/29/2014 0:00,12/13/2014 0:00,MW 0800-0950,XSB 293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,101,American Sign Language,3,10242,FIRST-YEAR ASL TM1,L,Lecture,Andrus,Sherry,950936231,,,F218,7,4,4,28,120,30,30,0,1,20,0,20,9/29/2014 0:00,12/13/2014 0:00,MW 1000-1150,PNT 207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,101,American Sign Language,4,10241,FIRST-YEAR ASL TM1,L,Lecture,Blades,Amy,930687502,,,F218,7,4,4,33,120,30,30,0,1,20,0,20,9/29/2014 0:00,12/13/2014 0:00,MW 1400-1550,SH 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,101,American Sign Language,5,10237,FIRST-YEAR ASL TM1,L,Lecture,Eleweke,Chukwuemeka,910957276,,,F218,7,4,4,29,108,30,27,3,0.9,20,0,20,9/29/2014 0:00,12/13/2014 0:00,MW 1840-2030,NH 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,101,American Sign Language,6,10243,FIRST-YEAR ASL TM1,L,Lecture,Coleman,Justin,973119488,,,F218,7,4,4,29,112,30,28,2,0.93,20,0,20,9/29/2014 0:00,12/13/2014 0:00,TR 0800-0950,FAB 40-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,101,American Sign Language,7,10238,FIRST-YEAR ASL TM1,L,Lecture,Fernstrom,Marie,901880201,,,F218,7,4,4,28,116,30,29,1,0.97,20,0,20,9/29/2014 0:00,12/13/2014 0:00,TR 1000-1150,FAB 40-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,101,American Sign Language,8,10244,FIRST-YEAR ASL TM1,L,Lecture,Fernstrom,Marie,901880201,,,F218,7,4,4,28,120,30,30,0,1,20,0,20,9/29/2014 0:00,12/13/2014 0:00,TR 1200-1350,UTS 210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,101,American Sign Language,9,10245,FIRST-YEAR ASL TM1,L,Lecture,Eleweke,Chukwuemeka,910957276,,,F218,7,4,4,30,116,30,29,1,0.97,20,0,20,9/29/2014 0:00,12/13/2014 0:00,TR 1640-1830,PNT 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,102,American Sign Language,1,14432,FIRST-YEAR ASL TM2,L,Lecture,Blades,Amy,930687502,,,F218,7,4,4,0,112,30,28,2,0.93,20,0,20,9/29/2014 0:00,12/13/2014 0:00,MW 1000-1150,NH 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,201,American Sign Language,1,10248,SECOND-YEAR ASL TM1,L,Lecture,Blades,Amy,930687502,,,F218,7,4,4,24,100,30,25,5,0.83,20,0,20,9/29/2014 0:00,12/13/2014 0:00,MW 0800-0950,XSB 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,201,American Sign Language,2,10249,SECOND-YEAR ASL TM1,L,Lecture,,,,,,F218,7,4,4,29,92,30,23,7,0.77,20,0,20,9/29/2014 0:00,12/13/2014 0:00,MW 1400-1550,PNT 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL,201,American Sign Language,3,10247,SECOND-YEAR ASL TM1,L,Lecture,Coleman,Justin,973119488,,,F218,7,4,4,25,120,30,30,0,1,20,1,19,9/29/2014 0:00,12/13/2014 0:00,TR 1000-1150,CH 324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
